,Artist,Track,Track_id,Track_popularity,Artist_id,Artist_Popularity,Genres,Followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Akhil sachdeva,"Tera ban jaunga reprise (from ""t-series acoustics"")",2I7LHHFgXku7VAVRkWdJAU,46,3TOhzLRYnkkul71yRBxIoM,65,desi pop,58394,0.51,0.479,8,-7.52,0,0.0257,0.786,0.0014,0.159,0.285,93.992,3.73
1,Arijit singh,Chhod diya,0NnaDlYvjuE6lpnGynSxTm,46,4YRxDV8wJFPHPTeXepOstw,74,desi hip hop,22364346,0.498,0.666,10,-6.176,0,0.0483,0.616,0.0,0.122,0.394,88.969,5.33
2,Kala bhairava,Spirit of jersey,2Nt4dVdc1dgUluBRt3RMon,46,4tejKImNVmDcORNBuZ1l14,64,desi hip hop,654802,0.696,0.94,8,-3.225,1,0.215,0.273,0.0,0.348,0.416,98.97,4.46
3,Meet bros.,Dil ka telephone,0i4r9oQAjxUlSVVp0ibNkx,47,0qpsFfOT3SmdGmnyV6rOhS,53,k-pop,508570,0.812,0.859,5,-3.367,0,0.165,0.513,0.0,0.174,0.793,102.022,3.49
4,Chandan shetty,Chocolate girl,5VkLIgGZN83ZnPPTnKkBM3,46,2b4BOEtTbGchL0K53fvpgk,48,punjabi pop,51375,0.796,0.606,4,-10.899,1,0.0866,0.0874,0.0,0.103,0.604,99.996,3.36
5,Mahesh hiremath,Datta digambara ya ho,0T1JFAPK06mcsrJF54qup5,46,3bXd6shaMKDPF6ypJrbulF,66,no specific genre,155214,0.654,0.661,1,-6.067,1,0.065,0.474,0.0,0.452,0.959,170.387,2.52
6,Juice wrld,Let me know (i wonder why freestyle),3wwo0bJvDSorOpNfzEkfXx,78,4MCBfE4596Uoi2O4DtmEMz,48,punjabi pop,51375,0.635,0.537,7,-7.895,0,0.0832,0.172,0.0,0.418,0.383,125.028,3.59
7,Lagnajita chakraborty,Preme pora baron,76lRYTeQqgRrrVaYmD1iRf,47,2I0Azs9QV5A3iyPjBu6UPM,54,desi hip hop,60814,0.593,0.323,11,-6.091,1,0.0267,0.777,0.0,0.126,0.409,112.019,3.94
8,Hot shade,Dive,2aXC0fD6qziwlOZZqhCqTd,74,3GtCKJA4SkOxN65MWjm82R,79,pluggnb,1386202,0.654,0.787,4,-4.999,1,0.0502,0.00515,0.0,0.144,0.409,123.979,2.74
9,Luis fonsi,Échame la culpa,0mlAOSILGRys2IbvyOT5VJ,72,4V8Sr092TqfHkfAA5fXXqG,82,big room,6594306,0.733,0.897,0,-3.652,1,0.0389,0.0391,0.0,0.117,0.649,96.006,2.9
